timestamp,temperature,humidity
2022-03-19 15:49:51,13.00,29.60
2022-03-19 15:49:53,12.80,29.70
2022-03-20 08:37:56,7.70,51.00
2022-03-20 08:38:09,7.50,47.60
2022-03-20 08:38:11,7.40,49.00
2022-03-20 09:08:11,7.40,49.10
2022-08-20 14:57:01
2022-08-20 15:27:28
2022-08-20 15:57:55
2022-08-20 16:28:22
2022-08-20 16:58:48
2022-08-20 17:29:15
2022-08-20 17:59:42
2022-08-20 18:30:08
2022-08-20 19:00:35
2022-08-20 19:31:02
2022-08-20 20:01:29
2022-08-20 20:31:55
2022-08-20 21:02:22
2022-08-20 21:32:49
2022-08-20 22:03:15
2022-08-20 22:33:42
2022-08-20 23:04:09
2022-08-20 23:34:36
2022-08-21 00:05:03
2022-08-21 00:35:29
2022-08-21 01:05:56
2022-08-21 01:36:23
2022-08-21 02:06:50
2022-08-21 02:37:17
2022-08-21 03:07:43
2022-08-21 03:38:10
2022-08-21 04:08:37
2022-08-21 04:39:04
2022-08-21 05:09:31
2022-08-21 05:39:57
2022-08-21 06:10:24
2022-08-21 07:11:18
2022-08-21 07:41:45
2022-08-21 08:12:12
2022-08-21 08:42:39
2022-08-21 09:13:05
2022-08-21 09:43:32
2022-08-21 10:13:59
2022-08-21 10:44:26
2022-08-21 11:14:53
2022-08-21 11:45:20
2022-08-21 12:15:47
2022-08-21 12:46:14
2022-08-21 13:16:41
2022-08-21 13:47:07
2022-08-21 14:17:34
2022-08-21 14:48:01
2022-08-21 15:18:28
2022-08-21 16:19:22
2022-08-21 16:49:49
2022-08-27 14:57:01
2022-08-27 14:57:02
2022-08-27 15:27:29
2022-08-27 15:57:56
2022-08-27 16:28:23
2022-08-27 16:58:50
2022-08-27 17:29:17
2022-08-27 17:59:44
2022-08-27 18:30:11
2022-08-27 19:00:38
2022-08-27 19:31:05
2022-08-27 20:01:32
2022-08-27 20:31:59
2022-08-27 21:02:26
2022-08-27 21:32:53
2022-08-27 22:03:20
2022-08-27 22:33:48
2022-08-27 23:04:15
2022-08-27 23:34:42
2022-08-28 00:05:09
2022-08-28 00:35:36
2022-08-28 01:06:03
2022-08-28 01:36:30
2022-08-28 02:06:57
